Салон,Наименование группы,Кол-во (группа),Паспорт,Полный класс (доминирующий),Остаток по классу,Прогноз по классу (квартал),"Прогноз по классу (месяц1, месяц2, месяц3)",XYZ-категория,Рекомендация
Комарова,3(4000-5990) (SENSE EYEWEAR) (у)(titan NB),1,0,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (ELFSPIRIT) (ж),5,7,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (ELFSPIRIT) (м),7,7,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (ENNI MARCO) (м),1,0,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (MEGAPOLIS) (м),3,4,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (OU) (ж),5,5,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (SEEBLING титановые) (ж) ,10,10,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (SEEBLING титановые) (м) ,10,10,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (WILLIAM MORRIS) (ж),12,12,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,5(10000-24990) (STEPPER) (ж),17,17,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,5(10000-24990) (STEPPER) (м),17,17,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,"Комсомольский, 33 ОиМ",993,998,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,(1590-9990 ) (ОПРАВЫ + CLIP) (М),4,5,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,(подростковые) (металл для девочек),10,12,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,(подростковые) (металл для мальчиков/универс),11,20,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,1(0-1490) (МЕТАЛЛ) (М),7,7,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,2(1590-3990) (DACKOR) (ж),14,14,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,2(1590-3990) (DACKOR) (металл) (м),21,21,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,2(1590-3990) (GENEX) (ж),6,7,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,2(1590-3990) (GENEX) (м),12,14,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,2(1590-3990) (NIKITANA) (ж),14,14,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,2(1590-3990) (OU) (мет+пл) (ж),2,4,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,2(1590-3990) (SENSE EYEWEAR) (ме) (ж),24,24,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,2(1590-3990) (SENSE EYEWEAR) (ме) (ж) хит5,4,4,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,2(1590-3990) (SENSE EYEWEAR) (ме) (м),14,14,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,2(1590-3990) (SENSE EYEWEAR) (пл) (ж),21,21,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,2(1590-3990) (SENSE EYEWEAR) (пл) (м),14,14,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,2(1590-3990) (SHARMEL) (м),14,14,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,3(4000-5990) (BALLET IMAGE) (ж),14,14,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,3(4000-5990) (GLORY) (металл) (ж),14,14,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,3(4000-5990) (GLORY) (металл) (м),7,7,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,3(4000-5990) (HUMARS) (ж),7,7,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,3(4000-5990) (MEGAPOLIS) (ж),10,14,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,3(4000-5990) (MEREL/ST.LOUISE) (ж),2,0,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,3(4000-5990) (OPTILOOK) (металл) (ж),6,7,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,3(4000-5990) (OU) (ж),18,14,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,3(4000-5990) (OU) (м),12,12,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,3(4000-5990) (RICO MIRADO) (ж),8,7,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,3(4000-5990) (SENSE EYEWEAR) (ж) хит6,4,4,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,3(4000-5990) (SENSE EYEWEAR) (ж)(ме),50,52,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,3(4000-5990) (SENSE EYEWEAR) (ж)(пл) ,29,28,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,3(4000-5990) (SENSE EYEWEAR) (м),56,56,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,3(4000-5990) (SENSE EYEWEAR) (м) хит4,4,4,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,3(4000-5990) (SENSE EYEWEAR) (у)(titan NB),10,10,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (BULGET) (ж),9,9,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (BULGET) (м),9,9,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (ELFSPIRIT) (ж),5,7,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (ELFSPIRIT) (м),9,9,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (ENNI MARCO) (ж),7,9,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (ENNI MARCO) (м),11,9,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (MEGAPOLIS) (м),4,5,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (NEOLOOK) (м),9,9,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (OU) (ж),18,21,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (OU) (м),7,9,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
