Unnamed: 0,stock,Unnamed: 2,Unnamed: 3,Unnamed: 4,salon,наименование,Кол-во,паспорт
Остаток,,,Кол-во,паспорт,Салон 40 лет Октября,,,
,,,,,Салон Васенко,2(1590-3990) (OU-Fielmann) (м)48,,3.0
,,,,,Салон Васенко,2(1590-3990) (SENSE EYEWEAR) (ме) (ж),29.0,30.0
,,,,,Салон Васенко,2(1590-3990) (SENSE EYEWEAR) (ме) (ж) хит5,4.0,4.0
,,,,,Салон Васенко,2(1590-3990) (SENSE EYEWEAR) (ме) (м),34.0,34.0
,,,,,Салон Васенко,2(1590-3990) (SENSE EYEWEAR) (пл) (ж),17.0,17.0
,,,,,Салон Васенко,2(1590-3990) (SENSE EYEWEAR) (пл) (м),18.0,17.0
,,,,,Салон Васенко,3(4000-5990) (GLORY) (металл) (ж),17.0,17.0
,,,,,Салон Васенко,3(4000-5990) (GLORY) (металл) (м),17.0,17.0
,,,,,Салон Васенко,3(4000-5990) (GLORY) (пластик) (ж),10.0,10.0
,,,,,Салон Васенко,3(4000-5990) (GLORY) (пластик) (м),11.0,14.0
,,,,,Салон Васенко,3(4000-5990) (HUMARS) (м),7.0,7.0
,,,,,Салон Васенко,3(4000-5990) (MEGAPOLIS) (ж),17.0,17.0
,,,,,Салон Васенко,3(4000-5990) (OPTILOOK) (металл) (ж),1.0,
,,,,,Салон Васенко,3(4000-5990) (OPTILOOK) (пластик) (ж),10.0,10.0
,,,,,Салон Васенко,3(4000-5990) (OU) (ж),16.0,17.0
,,,,,Салон Васенко,3(4000-5990) (OU) (м),2.0,
,,,,,Салон Васенко,3(4000-5990) (RICO MIRADO) (ж),17.0,17.0
,,,,,Салон Васенко,3(4000-5990) (SENSE EYEWEAR) (ж) хит6,1.0,
,,,,,Салон Васенко,3(4000-5990) (SENSE EYEWEAR) (ж)(ме),23.0,24.0
,,,,,Салон Васенко,3(4000-5990) (SENSE EYEWEAR) (ж)(пл) ,17.0,17.0
,,,,,Салон Васенко,3(4000-5990) (SENSE EYEWEAR) (м),47.0,47.0
,,,,,Салон Васенко,3(4000-5990) (SENSE EYEWEAR) (м) хит4,4.0,4.0
,,,,,Салон Васенко,3(4000-5990) (SENSE EYEWEAR) (у)(titan NB),1.0,
,,,,,Салон Васенко,4(6000-9990) (ELFSPIRIT) (ж),5.0,7.0
,,,,,Салон Васенко,4(6000-9990) (ELFSPIRIT) (м),7.0,7.0
,,,,,Салон Васенко,4(6000-9990) (ENNI MARCO) (м),1.0,
,,,,,Салон Васенко,4(6000-9990) (MEGAPOLIS) (м),3.0,4.0
,,,,,Салон Васенко,4(6000-9990) (OU) (ж),5.0,5.0
,,,,,Салон Васенко,4(6000-9990) (SEEBLING титановые) (ж) ,10.0,10.0
,,,,,Салон Васенко,4(6000-9990) (SEEBLING титановые) (м) ,10.0,10.0
,,,,,Салон Васенко,4(6000-9990) (WILLIAM MORRIS) (ж),12.0,12.0
,,,,,Салон Васенко,5(10000-24990) (STEPPER) (ж),17.0,17.0
,,,,,Салон Васенко,5(10000-24990) (STEPPER) (м),17.0,17.0
,,,,,Салон Васенко,"Комсомольский, 33 ОиМ",993.0,998.0
,,,,,Салон Васенко,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),3.0,3.0
,,,,,Салон Васенко,(1590-9990 ) (ОПРАВЫ + CLIP) (М),4.0,5.0
,,,,,Салон Васенко,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2.0,2.0
,,,,,Салон Васенко,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (м),2.0,2.0
,,,,,Салон Васенко,(детские) (пластик) (36-41),3.0,3.0
,,,,,Салон Васенко,(детские) (пластик) (42-45),20.0,10.0
,,,,,Салон Васенко,(детские) (пластик) (46-49),13.0,5.0
,,,,,Салон Васенко,(детские)(FISHER PRICE) девочки 38-41,,2.0
,,,,,Салон Васенко,(детские)(FISHER PRICE) девочки 42-46,6.0,6.0
,,,,,Салон Васенко,(детские)(FISHER PRICE) девочки 47-54,2.0,2.0
,,,,,Салон Васенко,(детские)(FISHER PRICE) мальчики 38-41,2.0,2.0
,,,,,Салон Васенко,(детские)(FISHER PRICE) мальчики 42-46,7.0,5.0
,,,,,Салон Васенко,(детские)(FISHER PRICE) мальчики 47-54,4.0,5.0
,,,,,Салон Васенко,(детские)(NANOKIDS/LIFE),5.0,5.0
,,,,,Салон Васенко,(детские/подростковые) (BARBIE),6.0,10.0
,,,,,Салон Васенко,(детские/подростковые) (GUESS),5.0,
,,,,,Салон Васенко,(детские/подростковые) (HOT WHEELS),4.0,4.0
,,,,,Салон Васенко,(детские/подростковые) (KIDSIGHT),5.0,10.0
,,,,,Салон Васенко,(детские/подростковые) (OU/SCOUT),14.0,14.0
,,,,,Салон Васенко,(детские/подростковые) (SENSE EYEWEAR) НОЛЬ-ТАРИФ,6.0,7.0
,,,,,Салон Васенко,(детские/подростковые) (VERSO),10.0,10.0
,,,,,Салон Васенко,(детские/подростковые) (VOGUE),1.0,
,,,,,Салон Васенко,(подростковые) (металл для девочек),10.0,12.0
,,,,,Салон Васенко,(подростковые) (металл для мальчиков/универс),11.0,20.0
,,,,,Салон Васенко,(подростковые) (пластик для девочек),22.0,20.0
,,,,,Салон Васенко,(подростковые) (пластик для мальчиков/универс),26.0,22.0
,,,,,Салон Васенко,1(0-1490) (МЕТАЛЛ) (Ж),7.0,7.0
,,,,,Салон Васенко,1(0-1490) (МЕТАЛЛ) (М),7.0,7.0
,,,,,Салон Васенко,1(0-1490) (ПЛАСТИК) (Ж),7.0,7.0
,,,,,Салон Васенко,1(0-1490) (ПЛАСТИК) (М),7.0,7.0
,,,,,Салон Васенко,2(1590-3990) (DACKOR) (ж),14.0,14.0
,,,,,Салон Васенко,2(1590-3990) (DACKOR) (металл) (м),21.0,21.0
,,,,,Салон Васенко,2(1590-3990) (DACKOR) (пластик) (м),7.0,7.0
,,,,,Салон Васенко,2(1590-3990) (GENEX) (ж),6.0,7.0
,,,,,Салон Васенко,2(1590-3990) (GENEX) (м),12.0,14.0
,,,,,Салон Васенко,2(1590-3990) (ISABELLE) (пластик) (ж),13.0,14.0
,,,,,Салон Васенко,2(1590-3990) (NIKITANA) (ж),14.0,14.0
,,,,,Салон Васенко,2(1590-3990) (OU) (мет+пл) (ж),2.0,4.0
,,,,,Салон Васенко,2(1590-3990) (SENSE EYEWEAR) (ме) (ж),24.0,24.0
,,,,,Салон Васенко,2(1590-3990) (SENSE EYEWEAR) (ме) (ж) хит5,4.0,4.0
,,,,,Салон Васенко,2(1590-3990) (SENSE EYEWEAR) (ме) (м),14.0,14.0
,,,,,Салон Васенко,2(1590-3990) (SENSE EYEWEAR) (пл) (ж),21.0,21.0
,,,,,Салон Васенко,2(1590-3990) (SENSE EYEWEAR) (пл) (м),14.0,14.0
,,,,,Салон Васенко,2(1590-3990) (SHARMEL) (м),14.0,14.0
,,,,,Салон Васенко,3(4000-5990) (BALLET IMAGE) (ж),14.0,14.0
,,,,,Салон Васенко,3(4000-5990) (GLORY) (металл) (ж),14.0,14.0
,,,,,Салон Васенко,3(4000-5990) (GLORY) (металл) (м),7.0,7.0
,,,,,Салон Васенко,3(4000-5990) (GLORY) (пластик) (ж),13.0,14.0
,,,,,Салон Васенко,3(4000-5990) (GLORY) (пластик) (м),5.0,7.0
,,,,,Салон Васенко,3(4000-5990) (HUMARS) (ж),7.0,7.0
,,,,,Салон Васенко,3(4000-5990) (MEGAPOLIS) (ж),10.0,14.0
,,,,,Салон Васенко,3(4000-5990) (MEREL/ST.LOUISE) (ж),2.0,
,,,,,Салон Васенко,3(4000-5990) (OPTILOOK) (металл) (ж),6.0,7.0
,,,,,Салон Васенко,3(4000-5990) (OPTILOOK) (пластик) (ж),10.0,7.0
,,,,,Салон Васенко,3(4000-5990) (OU) (ж),18.0,14.0
,,,,,Салон Васенко,3(4000-5990) (OU) (м),12.0,12.0
,,,,,Салон Васенко,3(4000-5990) (RICO MIRADO) (ж),8.0,7.0
,,,,,Салон Васенко,3(4000-5990) (SENSE EYEWEAR) (ж) хит6,4.0,4.0
,,,,,Салон Васенко,3(4000-5990) (SENSE EYEWEAR) (ж)(ме),50.0,52.0
,,,,,Салон Васенко,3(4000-5990) (SENSE EYEWEAR) (ж)(пл) ,29.0,28.0
,,,,,Салон Васенко,3(4000-5990) (SENSE EYEWEAR) (м),56.0,56.0
,,,,,Салон Васенко,3(4000-5990) (SENSE EYEWEAR) (м) хит4,4.0,4.0
,,,,,Салон Васенко,3(4000-5990) (SENSE EYEWEAR) (у)(titan NB),10.0,10.0
,,,,,Салон Васенко,4(6000-9990) (BULGET) (ж),9.0,9.0
,,,,,Салон Васенко,4(6000-9990) (BULGET) (м),9.0,9.0
,,,,,Салон Васенко,4(6000-9990) (ELFSPIRIT) (ж),5.0,7.0
,,,,,Салон Васенко,4(6000-9990) (ELFSPIRIT) (м),9.0,9.0
,,,,,Салон Васенко,4(6000-9990) (ENNI MARCO) (ж),7.0,9.0
,,,,,Салон Васенко,4(6000-9990) (ENNI MARCO) (м),11.0,9.0
,,,,,Салон Васенко,4(6000-9990) (MEGAPOLIS) (м),4.0,5.0
,,,,,Салон Васенко,4(6000-9990) (NEOLOOK) (м),9.0,9.0
,,,,,Салон Васенко,4(6000-9990) (OU) (ж),18.0,21.0
,,,,,Салон Васенко,4(6000-9990) (OU) (м),7.0,9.0
,,,,,Салон Васенко,4(6000-9990) (SEEBLING титановые) (ж) ,15.0,14.0
,,,,,Салон Васенко,4(6000-9990) (SEEBLING титановые) (м) ,9.0,9.0
,,,,,Салон Васенко,4(6000-9990) (SFEROFLEX) (ж),3.0,9.0
,,,,,Салон Васенко,4(6000-9990) (SFEROFLEX) (м),6.0,9.0
,,,,,Салон Васенко,4(6000-9990) (VY) (ж),8.0,9.0
,,,,,Салон Васенко,4(6000-9990) (WILLIAM MORRIS) (ж),18.0,18.0
,,,,,Салон Васенко,5(10000-24990) (ANA HICKMANN) (ж),9.0,8.0
,,,,,Салон Васенко,5(10000-24990) (BOSS/HUGO BOSS) (м),8.0,8.0
,,,,,Салон Васенко,5(10000-24990) (CERUTTI) (м),8.0,8.0
,,,,,Салон Васенко,5(10000-24990) (EMILIA) (ж),8.0,8.0
,,,,,Салон Васенко,5(10000-24990) (EMPORIO ARMANI) (м),8.0,8.0
,,,,,Салон Васенко,5(10000-24990) (GUESS) (ж),18.0,18.0
,,,,,Салон Васенко,5(10000-24990) (GUESS) (м),9.0,9.0
,,,,,Салон Васенко,5(10000-24990) (MOREL/OGA/NOMAD/LIGHTEC) (м),8.0,8.0
,,,,,Салон Васенко,5(10000-24990) (RAY BAN),7.0,8.0
,,,,,Салон Васенко,5(10000-24990) (SLIMFOLD) (м),3.0,3.0
,,,,,Салон Васенко,5(10000-24990) (STEPPER) (ж),19.0,18.0
,,,,,Салон Васенко,5(10000-24990) (STEPPER) (м),11.0,9.0
,,,,,Салон Васенко,5(10000-24990) (T-CHARGE) (м),12.0,9.0
,,,,,Салон Васенко,5(10000-24990) (TRUSSARDI) (м),8.0,8.0
,,,,,Салон Васенко,5(10000-24990) (VOGUE) (ж),8.0,8.0
,,,,,Салон Васенко,5(10000-24990) (WILLIAM MORRIS BL) (ж),9.0,9.0
,,,,,Салон Васенко,5(10000-24990) (WILLIAM MORRIS) (м),10.0,9.0
,,,,,Салон Васенко,5(10000-24990) (XAVIER GARCIA) (ж),1.0,
,,,,,Салон Васенко,VIP (CHARRIOL) (ж) #,1.0,
,,,,,Салон Васенко,VIP (MONTBLANC)#,1.0,
