Unnamed: 0,stock,Unnamed: 2,Unnamed: 3,Unnamed: 4,salon,наименование,Кол-во,паспорт
Остаток,,,Кол-во,паспорт,Салон 40 лет Октября,,,
4(6000-9990) (ENNI MARCO) (ж),,,16,16,Салон 40 лет Октября,,,
4(6000-9990) (ENNI MARCO) (м),,,7,7,Салон 40 лет Октября,,,
4(6000-9990) (LINA LATINI titanium) (ж),,,8,8,Салон 40 лет Октября,,,
4(6000-9990) (MAX&CO) (ж),,,8,8,Салон 40 лет Октября,,,
4(6000-9990) (MEGAPOLIS) (м),,,4,7,Салон 40 лет Октября,,,
4(6000-9990) (NEOLOOK) (ж),,,8,8,Салон 40 лет Октября,,,
4(6000-9990) (NEOLOOK) (м),,,14,14,Салон 40 лет Октября,,,
4(6000-9990) (OU) (м),,,2,,Салон 40 лет Октября,,,
4(6000-9990) (SEEBLING титановые) (ж) ,,,16,16,Салон 40 лет Октября,,,
4(6000-9990) (SEEBLING титановые) (м) ,,,12,12,Салон 40 лет Октября,,,
4(6000-9990) (SFEROFLEX) (ж),,,4,,Салон 40 лет Октября,,,
4(6000-9990) (SFEROFLEX) (м),,,3,7,Салон 40 лет Октября,,,
4(6000-9990) (WILLIAM MORRIS) (ж),,,18,18,Салон 40 лет Октября,,,
5(10000-24990) (ANA HICKMANN) (ж),,,12,12,Салон 40 лет Октября,,,
5(10000-24990) (BOSS/HUGO BOSS) (м),,,7,7,Салон 40 лет Октября,,,
5(10000-24990) (CARRERA) (м),,,8,8,Салон 40 лет Октября,,,
5(10000-24990) (CERUTTI) (м),,,9,7,Салон 40 лет Октября,,,
5(10000-24990) (DAVID BECKHEM) (м),,,7,7,Салон 40 лет Октября,,,
5(10000-24990) (EMILIA) (ж),,,8,8,Салон 40 лет Октября,,,
5(10000-24990) (EMPORIO ARMANI) (м),,,7,7,Салон 40 лет Октября,,,
5(10000-24990) (ETRO) (ж),,,9,8,Салон 40 лет Октября,,,
5(10000-24990) (FURLA) (ж),,,9,8,Салон 40 лет Октября,,,
5(10000-24990) (GRESSO) (м),,,8,8,Салон 40 лет Октября,,,
5(10000-24990) (GUESS) (ж),,,16,16,Салон 40 лет Октября,,,
5(10000-24990) (GUESS) (м),,,7,7,Салон 40 лет Октября,,,
5(10000-24990) (MOLESKINE) (у),,,8,8,Салон 40 лет Октября,,,
5(10000-24990) (MOREL/KOALI/NOMAD/LIGHTEC) (ж),,,10,9,Салон 40 лет Октября,,,
5(10000-24990) (MOREL/OGA/NOMAD/LIGHTEC) (м),,,8,8,Салон 40 лет Октября,,,
5(10000-24990) (PEPE JEANS) (м),,,2,,Салон 40 лет Октября,,,
5(10000-24990) (RAY BAN),,,25,26,Салон 40 лет Октября,,,
5(10000-24990) (RAY BAN) (6363),,,,2,Салон 40 лет Октября,,,
5(10000-24990) (SEIKO) (ж),,,7,8,Салон 40 лет Октября,,,
5(10000-24990) (SEIKO) (м),,,8,8,Салон 40 лет Октября,,,
5(10000-24990) (SLIMFOLD) (м),,,8,6,Салон 40 лет Октября,,,
5(10000-24990) (STEPPER) (ж),,,18,18,Салон 40 лет Октября,,,
5(10000-24990) (STEPPER) (м),,,15,14,Салон 40 лет Октября,,,
5(10000-24990) (T-CHARGE) (м),,,14,14,Салон 40 лет Октября,,,
5(10000-24990) (TED BAKER) (ж),,,7,8,Салон 40 лет Октября,,,
5(10000-24990) (TED BAKER) (м),,,8,7,Салон 40 лет Октября,,,
5(10000-24990) (TRUSSARDI) (ж),,,9,8,Салон 40 лет Октября,,,
5(10000-24990) (TRUSSARDI) (м),,,8,8,Салон 40 лет Октября,,,
5(10000-24990) (VOGUE) (ж),,,2,,Салон 40 лет Октября,,,
5(10000-24990) (WILLIAM MORRIS BL) (ж),,,10,10,Салон 40 лет Октября,,,
5(10000-24990) (WILLIAM MORRIS) (м),,,14,14,Салон 40 лет Октября,,,
5(10000-24990) (XAVIER GARCIA) (ж),,,8,8,Салон 40 лет Октября,,,
5(10000-24990) (XAVIER GARCIA) (м),,,7,7,Салон 40 лет Октября,,,
VIP (CAZAL) ( ж),,,8,8,Салон 40 лет Октября,,,
VIP (CAZAL) (м),,,8,8,Салон 40 лет Октября,,,
VIP (CHARMANT LINE ART) (ж),,,1,3,Салон 40 лет Октября,,,
VIP (CHARRIOL) (м) #,,,8,8,Салон 40 лет Октября,,,
VIP (ETNIA BARCELONA) (ж)#,,,10,10,Салон 40 лет Октября,,,
VIP (ETNIA BARCELONA) (м)#,,,8,8,Салон 40 лет Октября,,,
VIP (GOTTI) (ж),,,8,8,Салон 40 лет Октября,,,
VIP (GOTTI) (у),,,5,8,Салон 40 лет Октября,,,
VIP (JAGUAR),,,8,8,Салон 40 лет Октября,,,
VIP (LAFONT) (ж),,,7,8,Салон 40 лет Октября,,,
VIP (MONTBLANC)#,,,7,8,Салон 40 лет Октября,,,
VIP (MYKITA),,,4,,Салон 40 лет Октября,,,
VIP (PRADA LINEA ROSSA)#,,,10,7,Салон 40 лет Октября,,,
VIP (PRADA)#,,,8,8,Салон 40 лет Октября,,,
VIP (SILHOUETTE),,,8,8,Салон 40 лет Октября,,,
VIP (TIFFANY),,,8,8,Салон 40 лет Октября,,,
РАСПРОДАЖА (Ж) (10 000 - ...),,,1,,Салон 40 лет Октября,,,
,,,,,Салон Комаровского,(1590-9990 ) (ОПРАВЫ + CLIP) (М),3.0,3.0
,,,,,Салон Комаровского,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2.0,2.0
,,,,,Салон Комаровского,(детские) (металл),2.0,2.0
,,,,,Салон Комаровского,(детские) (пластик) (36-41),2.0,3.0
,,,,,Салон Комаровского,(детские) (пластик) (42-45),11.0,10.0
,,,,,Салон Комаровского,(детские) (пластик) (46-49),12.0,8.0
,,,,,Салон Комаровского,(детские/подростковые) (OU/SCOUT),10.0,8.0
,,,,,Салон Комаровского,(детские/подростковые) (SENSE EYEWEAR) НОЛЬ-ТАРИФ,6.0,6.0
,,,,,Салон Комаровского,(детские/подростковые) (VERSO),6.0,6.0
,,,,,Салон Комаровского,(подростковые) (металл для девочек),7.0,8.0
,,,,,Салон Комаровского,(подростковые) (металл для мальчиков/универс),12.0,15.0
,,,,,Салон Комаровского,(подростковые) (пластик для девочек),13.0,8.0
,,,,,Салон Комаровского,(подростковые) (пластик для мальчиков/универс),23.0,14.0
,,,,,Салон Комаровского,1(0-1490) (МЕТАЛЛ) (Ж),12.0,12.0
,,,,,Салон Комаровского,1(0-1490) (МЕТАЛЛ) (М),12.0,12.0
,,,,,Салон Комаровского,1(0-1490) (ПЛАСТИК) (Ж),10.0,10.0
,,,,,Салон Комаровского,1(0-1490) (ПЛАСТИК) (М),8.0,8.0
,,,,,Салон Комаровского,2(1590-3990) (DACKOR) (ж),7.0,7.0
,,,,,Салон Комаровского,2(1590-3990) (DACKOR) (металл) (м),17.0,17.0
,,,,,Салон Комаровского,2(1590-3990) (DACKOR) (пластик) (м),7.0,7.0
,,,,,Салон Комаровского,2(1590-3990) (GENEX) (ж),10.0,10.0
,,,,,Салон Комаровского,2(1590-3990) (GENEX) (м),10.0,10.0
,,,,,Салон Комаровского,2(1590-3990) (ISABELLE) (пластик) (ж),7.0,7.0
,,,,,Салон Комаровского,2(1590-3990) (NIKITANA) (ж),17.0,17.0
,,,,,Салон Комаровского,2(1590-3990) (OU-Fielmann) (м)48,,3.0
,,,,,Салон Комаровского,2(1590-3990) (SENSE EYEWEAR) (ме) (ж),29.0,30.0
,,,,,Салон Комаровского,2(1590-3990) (SENSE EYEWEAR) (ме) (ж) хит5,4.0,4.0
,,,,,Салон Комаровского,2(1590-3990) (SENSE EYEWEAR) (ме) (м),34.0,34.0
,,,,,Салон Комаровского,2(1590-3990) (SENSE EYEWEAR) (пл) (ж),17.0,17.0
,,,,,Салон Комаровского,2(1590-3990) (SENSE EYEWEAR) (пл) (м),18.0,17.0
,,,,,Салон Комаровского,3(4000-5990) (GLORY) (металл) (ж),17.0,17.0
,,,,,Салон Комаровского,3(4000-5990) (GLORY) (металл) (м),17.0,17.0
,,,,,Салон Комаровского,3(4000-5990) (GLORY) (пластик) (ж),10.0,10.0
,,,,,Салон Комаровского,3(4000-5990) (GLORY) (пластик) (м),11.0,14.0
,,,,,Салон Комаровского,3(4000-5990) (HUMARS) (м),7.0,7.0
,,,,,Салон Комаровского,3(4000-5990) (MEGAPOLIS) (ж),17.0,17.0
,,,,,Салон Комаровского,3(4000-5990) (OPTILOOK) (металл) (ж),1.0,
,,,,,Салон Комаровского,3(4000-5990) (OPTILOOK) (пластик) (ж),10.0,10.0
,,,,,Салон Комаровского,3(4000-5990) (OU) (ж),16.0,17.0
,,,,,Салон Комаровского,3(4000-5990) (OU) (м),2.0,
,,,,,Салон Комаровского,3(4000-5990) (RICO MIRADO) (ж),17.0,17.0
,,,,,Салон Комаровского,3(4000-5990) (SENSE EYEWEAR) (ж) хит6,1.0,
,,,,,Салон Комаровского,3(4000-5990) (SENSE EYEWEAR) (ж)(ме),23.0,24.0
,,,,,Салон Комаровского,3(4000-5990) (SENSE EYEWEAR) (ж)(пл) ,17.0,17.0
,,,,,Салон Комаровского,3(4000-5990) (SENSE EYEWEAR) (м),47.0,47.0
,,,,,Салон Комаровского,3(4000-5990) (SENSE EYEWEAR) (м) хит4,4.0,4.0
,,,,,Салон Комаровского,3(4000-5990) (SENSE EYEWEAR) (у)(titan NB),1.0,
,,,,,Салон Комаровского,4(6000-9990) (ELFSPIRIT) (ж),5.0,7.0
,,,,,Салон Комаровского,4(6000-9990) (ELFSPIRIT) (м),7.0,7.0
,,,,,Салон Комаровского,4(6000-9990) (ENNI MARCO) (м),1.0,
,,,,,Салон Комаровского,4(6000-9990) (MEGAPOLIS) (м),3.0,4.0
,,,,,Салон Комаровского,4(6000-9990) (OU) (ж),5.0,5.0
,,,,,Салон Комаровского,4(6000-9990) (SEEBLING титановые) (ж) ,10.0,10.0
,,,,,Салон Комаровского,4(6000-9990) (SEEBLING титановые) (м) ,10.0,10.0
,,,,,Салон Комаровского,4(6000-9990) (WILLIAM MORRIS) (ж),12.0,12.0
,,,,,Салон Комаровского,5(10000-24990) (STEPPER) (ж),17.0,17.0
,,,,,Салон Комаровского,5(10000-24990) (STEPPER) (м),17.0,17.0
,,,,,Салон Комаровского,"Комсомольский, 33 ОиМ",993.0,998.0
,,,,,Салон Комаровского,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),3.0,3.0
