Магазин,Наименование группы,Месяц/год,month_dt,Продажа/прогноз,Тип,Полный класс (доминирующий)
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2024-03,2024-03-01 00:00:00,360,факт,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2024-04,2024-04-01 00:00:00,415,факт,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2024-05,2024-05-01 00:00:00,349,факт,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2024-06,2024-06-01 00:00:00,333,факт,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2024-07,2024-07-01 00:00:00,386,факт,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2024-08,2024-08-01 00:00:00,408,факт,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2024-09,2024-09-01 00:00:00,350,факт,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2024-10,2024-10-01 00:00:00,361,факт,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2024-11,2024-11-01 00:00:00,361,факт,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2024-12,2024-12-01 00:00:00,344,факт,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2025-01,2025-01-31 14:45:54,363,прогноз,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2025-02,2025-02-28 14:45:54,364,прогноз,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2025-03,2025-03-31 14:45:54,365,прогноз,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (М),2024-03,2024-03-01 00:00:00,237,факт,прямоугольные_металл_темно-серый_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (М),2024-04,2024-04-01 00:00:00,237,факт,прямоугольные_металл_темно-серый_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (М),2024-05,2024-05-01 00:00:00,199,факт,прямоугольные_металл_темно-серый_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (М),2024-06,2024-06-01 00:00:00,209,факт,прямоугольные_металл_темно-серый_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (М),2024-07,2024-07-01 00:00:00,219,факт,прямоугольные_металл_темно-серый_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (М),2024-08,2024-08-01 00:00:00,262,факт,прямоугольные_металл_темно-серый_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (М),2024-09,2024-09-01 00:00:00,215,факт,прямоугольные_металл_темно-серый_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (М),2024-10,2024-10-01 00:00:00,216,факт,прямоугольные_металл_темно-серый_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (М),2024-11,2024-11-01 00:00:00,206,факт,прямоугольные_металл_темно-серый_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (М),2024-12,2024-12-01 00:00:00,244,факт,прямоугольные_металл_темно-серый_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (М),2025-01,2025-01-31 14:45:54,228,прогноз,прямоугольные_металл_темно-серый_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (М),2025-02,2025-02-28 14:45:54,230,прогноз,прямоугольные_металл_темно-серый_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (М),2025-03,2025-03-31 14:45:54,232,прогноз,прямоугольные_металл_темно-серый_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2024-03,2024-03-01 00:00:00,11,факт,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2024-04,2024-04-01 00:00:00,23,факт,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2024-05,2024-05-01 00:00:00,13,факт,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2024-06,2024-06-01 00:00:00,20,факт,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2024-07,2024-07-01 00:00:00,20,факт,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2024-08,2024-08-01 00:00:00,17,факт,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2024-09,2024-09-01 00:00:00,19,факт,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2024-10,2024-10-01 00:00:00,11,факт,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2024-11,2024-11-01 00:00:00,14,факт,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2024-12,2024-12-01 00:00:00,8,факт,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2025-01,2025-01-31 14:45:54,15,прогноз,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2025-02,2025-02-28 14:45:54,16,прогноз,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2025-03,2025-03-31 14:45:54,16,прогноз,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (м),2024-03,2024-03-01 00:00:00,11,факт,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (м),2024-04,2024-04-01 00:00:00,23,факт,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (м),2024-05,2024-05-01 00:00:00,13,факт,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (м),2024-06,2024-06-01 00:00:00,20,факт,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (м),2024-07,2024-07-01 00:00:00,20,факт,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (м),2024-08,2024-08-01 00:00:00,17,факт,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (м),2024-09,2024-09-01 00:00:00,19,факт,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (м),2024-10,2024-10-01 00:00:00,11,факт,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (м),2024-11,2024-11-01 00:00:00,14,факт,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (м),2024-12,2024-12-01 00:00:00,8,факт,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (м),2025-01,2025-01-31 14:45:54,15,прогноз,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (м),2025-02,2025-02-28 14:45:54,16,прогноз,бабочка_титан_золотой_M_L_M
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (м),2025-03,2025-03-31 14:45:54,16,прогноз,бабочка_титан_золотой_M_L_M
40 лет Октября,(детские) (пластик) (36-41),2024-03,2024-03-01 00:00:00,61,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (36-41),2024-04,2024-04-01 00:00:00,49,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (36-41),2024-05,2024-05-01 00:00:00,60,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (36-41),2024-06,2024-06-01 00:00:00,53,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (36-41),2024-07,2024-07-01 00:00:00,56,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (36-41),2024-08,2024-08-01 00:00:00,50,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (36-41),2024-09,2024-09-01 00:00:00,63,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (36-41),2024-10,2024-10-01 00:00:00,42,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (36-41),2024-11,2024-11-01 00:00:00,39,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (36-41),2024-12,2024-12-01 00:00:00,38,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (36-41),2025-01,2025-01-31 14:45:54,46,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (36-41),2025-02,2025-02-28 14:45:54,45,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (36-41),2025-03,2025-03-31 14:45:54,45,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (42-45),2024-03,2024-03-01 00:00:00,61,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (42-45),2024-04,2024-04-01 00:00:00,49,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (42-45),2024-05,2024-05-01 00:00:00,60,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (42-45),2024-06,2024-06-01 00:00:00,53,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (42-45),2024-07,2024-07-01 00:00:00,56,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (42-45),2024-08,2024-08-01 00:00:00,50,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (42-45),2024-09,2024-09-01 00:00:00,63,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (42-45),2024-10,2024-10-01 00:00:00,42,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (42-45),2024-11,2024-11-01 00:00:00,39,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (42-45),2024-12,2024-12-01 00:00:00,38,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (42-45),2025-01,2025-01-31 14:45:54,46,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (42-45),2025-02,2025-02-28 14:45:54,45,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (42-45),2025-03,2025-03-31 14:45:54,45,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (46-49),2024-03,2024-03-01 00:00:00,61,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (46-49),2024-04,2024-04-01 00:00:00,49,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (46-49),2024-05,2024-05-01 00:00:00,60,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (46-49),2024-06,2024-06-01 00:00:00,53,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (46-49),2024-07,2024-07-01 00:00:00,56,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (46-49),2024-08,2024-08-01 00:00:00,50,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (46-49),2024-09,2024-09-01 00:00:00,63,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (46-49),2024-10,2024-10-01 00:00:00,42,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (46-49),2024-11,2024-11-01 00:00:00,39,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (46-49),2024-12,2024-12-01 00:00:00,38,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (46-49),2025-01,2025-01-31 14:45:54,46,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (46-49),2025-02,2025-02-28 14:45:54,45,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские) (пластик) (46-49),2025-03,2025-03-31 14:45:54,45,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 38-41,2024-03,2024-03-01 00:00:00,94,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 38-41,2024-04,2024-04-01 00:00:00,65,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 38-41,2024-05,2024-05-01 00:00:00,89,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 38-41,2024-06,2024-06-01 00:00:00,73,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 38-41,2024-07,2024-07-01 00:00:00,85,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 38-41,2024-08,2024-08-01 00:00:00,76,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 38-41,2024-09,2024-09-01 00:00:00,84,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 38-41,2024-10,2024-10-01 00:00:00,64,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 38-41,2024-11,2024-11-01 00:00:00,71,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 38-41,2024-12,2024-12-01 00:00:00,61,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 38-41,2025-01,2025-01-31 14:45:54,73,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 38-41,2025-02,2025-02-28 14:45:54,72,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 38-41,2025-03,2025-03-31 14:45:54,72,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 42-46,2024-03,2024-03-01 00:00:00,94,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 42-46,2024-04,2024-04-01 00:00:00,65,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 42-46,2024-05,2024-05-01 00:00:00,89,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 42-46,2024-06,2024-06-01 00:00:00,73,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 42-46,2024-07,2024-07-01 00:00:00,85,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 42-46,2024-08,2024-08-01 00:00:00,76,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 42-46,2024-09,2024-09-01 00:00:00,84,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 42-46,2024-10,2024-10-01 00:00:00,64,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 42-46,2024-11,2024-11-01 00:00:00,71,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 42-46,2024-12,2024-12-01 00:00:00,61,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 42-46,2025-01,2025-01-31 14:45:54,73,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 42-46,2025-02,2025-02-28 14:45:54,72,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 42-46,2025-03,2025-03-31 14:45:54,72,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 47-54,2024-03,2024-03-01 00:00:00,94,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 47-54,2024-04,2024-04-01 00:00:00,65,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 47-54,2024-05,2024-05-01 00:00:00,89,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 47-54,2024-06,2024-06-01 00:00:00,73,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 47-54,2024-07,2024-07-01 00:00:00,85,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 47-54,2024-08,2024-08-01 00:00:00,76,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 47-54,2024-09,2024-09-01 00:00:00,84,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 47-54,2024-10,2024-10-01 00:00:00,64,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 47-54,2024-11,2024-11-01 00:00:00,71,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 47-54,2024-12,2024-12-01 00:00:00,61,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 47-54,2025-01,2025-01-31 14:45:54,73,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 47-54,2025-02,2025-02-28 14:45:54,72,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) девочки 47-54,2025-03,2025-03-31 14:45:54,72,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 38-41,2024-03,2024-03-01 00:00:00,94,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 38-41,2024-04,2024-04-01 00:00:00,65,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 38-41,2024-05,2024-05-01 00:00:00,89,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 38-41,2024-06,2024-06-01 00:00:00,73,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 38-41,2024-07,2024-07-01 00:00:00,85,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 38-41,2024-08,2024-08-01 00:00:00,76,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 38-41,2024-09,2024-09-01 00:00:00,84,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 38-41,2024-10,2024-10-01 00:00:00,64,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 38-41,2024-11,2024-11-01 00:00:00,71,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 38-41,2024-12,2024-12-01 00:00:00,61,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 38-41,2025-01,2025-01-31 14:45:54,73,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 38-41,2025-02,2025-02-28 14:45:54,72,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 38-41,2025-03,2025-03-31 14:45:54,72,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 42-46,2024-03,2024-03-01 00:00:00,94,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 42-46,2024-04,2024-04-01 00:00:00,65,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 42-46,2024-05,2024-05-01 00:00:00,89,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 42-46,2024-06,2024-06-01 00:00:00,73,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 42-46,2024-07,2024-07-01 00:00:00,85,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 42-46,2024-08,2024-08-01 00:00:00,76,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 42-46,2024-09,2024-09-01 00:00:00,84,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 42-46,2024-10,2024-10-01 00:00:00,64,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 42-46,2024-11,2024-11-01 00:00:00,71,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 42-46,2024-12,2024-12-01 00:00:00,61,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 42-46,2025-01,2025-01-31 14:45:54,73,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 42-46,2025-02,2025-02-28 14:45:54,72,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 42-46,2025-03,2025-03-31 14:45:54,72,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 47-54,2024-03,2024-03-01 00:00:00,94,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 47-54,2024-04,2024-04-01 00:00:00,65,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 47-54,2024-05,2024-05-01 00:00:00,89,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 47-54,2024-06,2024-06-01 00:00:00,73,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 47-54,2024-07,2024-07-01 00:00:00,85,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 47-54,2024-08,2024-08-01 00:00:00,76,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 47-54,2024-09,2024-09-01 00:00:00,84,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 47-54,2024-10,2024-10-01 00:00:00,64,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 47-54,2024-11,2024-11-01 00:00:00,71,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 47-54,2024-12,2024-12-01 00:00:00,61,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 47-54,2025-01,2025-01-31 14:45:54,73,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 47-54,2025-02,2025-02-28 14:45:54,72,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(FISHER PRICE) мальчики 47-54,2025-03,2025-03-31 14:45:54,72,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(NANOKIDS/LIFE),2024-03,2024-03-01 00:00:00,94,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(NANOKIDS/LIFE),2024-04,2024-04-01 00:00:00,65,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(NANOKIDS/LIFE),2024-05,2024-05-01 00:00:00,89,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(NANOKIDS/LIFE),2024-06,2024-06-01 00:00:00,73,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(NANOKIDS/LIFE),2024-07,2024-07-01 00:00:00,85,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(NANOKIDS/LIFE),2024-08,2024-08-01 00:00:00,76,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(NANOKIDS/LIFE),2024-09,2024-09-01 00:00:00,84,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(NANOKIDS/LIFE),2024-10,2024-10-01 00:00:00,64,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(NANOKIDS/LIFE),2024-11,2024-11-01 00:00:00,71,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(NANOKIDS/LIFE),2024-12,2024-12-01 00:00:00,61,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(NANOKIDS/LIFE),2025-01,2025-01-31 14:45:54,73,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(NANOKIDS/LIFE),2025-02,2025-02-28 14:45:54,72,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские)(NANOKIDS/LIFE),2025-03,2025-03-31 14:45:54,72,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские/подростковые ) (NANO) (52-56),2024-03,2024-03-01 00:00:00,94,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские/подростковые ) (NANO) (52-56),2024-04,2024-04-01 00:00:00,65,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские/подростковые ) (NANO) (52-56),2024-05,2024-05-01 00:00:00,89,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские/подростковые ) (NANO) (52-56),2024-06,2024-06-01 00:00:00,73,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские/подростковые ) (NANO) (52-56),2024-07,2024-07-01 00:00:00,85,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские/подростковые ) (NANO) (52-56),2024-08,2024-08-01 00:00:00,76,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские/подростковые ) (NANO) (52-56),2024-09,2024-09-01 00:00:00,84,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские/подростковые ) (NANO) (52-56),2024-10,2024-10-01 00:00:00,64,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские/подростковые ) (NANO) (52-56),2024-11,2024-11-01 00:00:00,71,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские/подростковые ) (NANO) (52-56),2024-12,2024-12-01 00:00:00,61,факт,овальные_пластик_синий_S_S_S
40 лет Октября,(детские/подростковые ) (NANO) (52-56),2025-01,2025-01-31 14:45:54,73,прогноз,овальные_пластик_синий_S_S_S
40 лет Октября,(детские/подростковые ) (NANO) (52-56),2025-02,2025-02-28 14:45:54,72,прогноз,овальные_пластик_синий_S_S_S
