наименование,,,Кол-во,паспорт
3(4000-5990) (OU) (м),,,12,12
3(4000-5990) (RICO MIRADO) (ж),,,8,7
3(4000-5990) (SENSE EYEWEAR) (ж) хит6,,,4,4
3(4000-5990) (SENSE EYEWEAR) (ж)(ме),,,50,52
3(4000-5990) (SENSE EYEWEAR) (ж)(пл) ,,,29,28
3(4000-5990) (SENSE EYEWEAR) (м),,,56,56
3(4000-5990) (SENSE EYEWEAR) (м) хит4,,,4,4
3(4000-5990) (SENSE EYEWEAR) (у)(titan NB),,,10,10
4(6000-9990) (BULGET) (ж),,,9,9
4(6000-9990) (BULGET) (м),,,9,9
4(6000-9990) (ELFSPIRIT) (ж),,,5,7
4(6000-9990) (ELFSPIRIT) (м),,,9,9
4(6000-9990) (ENNI MARCO) (ж),,,7,9
4(6000-9990) (ENNI MARCO) (м),,,11,9
4(6000-9990) (MEGAPOLIS) (м),,,4,5
4(6000-9990) (NEOLOOK) (м),,,9,9
4(6000-9990) (OU) (ж),,,18,21
4(6000-9990) (OU) (м),,,7,9
4(6000-9990) (SEEBLING титановые) (ж) ,,,15,14
4(6000-9990) (SEEBLING титановые) (м) ,,,9,9
4(6000-9990) (SFEROFLEX) (ж),,,3,9
4(6000-9990) (SFEROFLEX) (м),,,6,9
4(6000-9990) (VY) (ж),,,8,9
4(6000-9990) (WILLIAM MORRIS) (ж),,,18,18
5(10000-24990) (ANA HICKMANN) (ж),,,9,8
5(10000-24990) (BOSS/HUGO BOSS) (м),,,8,8
5(10000-24990) (CERUTTI) (м),,,8,8
5(10000-24990) (EMILIA) (ж),,,8,8
5(10000-24990) (EMPORIO ARMANI) (м),,,8,8
5(10000-24990) (GUESS) (ж),,,18,18
5(10000-24990) (GUESS) (м),,,9,9
5(10000-24990) (MOREL/OGA/NOMAD/LIGHTEC) (м),,,8,8
5(10000-24990) (RAY BAN),,,7,8
5(10000-24990) (SLIMFOLD) (м),,,3,3
5(10000-24990) (STEPPER) (ж),,,19,18
5(10000-24990) (STEPPER) (м),,,11,9
5(10000-24990) (T-CHARGE) (м),,,12,9
5(10000-24990) (TRUSSARDI) (м),,,8,8
5(10000-24990) (VOGUE) (ж),,,8,8
5(10000-24990) (WILLIAM MORRIS BL) (ж),,,9,9
5(10000-24990) (WILLIAM MORRIS) (м),,,10,9
5(10000-24990) (XAVIER GARCIA) (ж),,,1,
VIP (CHARRIOL) (ж) #,,,1,
VIP (MONTBLANC)#,,,1,
