article,brand,gender_frame,material,frame_type,form,color,lens_width,bridge_width,temples_length,price,cost,категория,class_style,class_size,class_full
1633-003,BOSS,мужские,металл,ободковая,квадратные,черный,53.0,20.0,150.0,,,оптика,квадратные_металл_черный,L_L_L,квадратные_металл_черный_L_L_L
1633-006,JUNIORLOOK,подростковые для девочек,металл,ободковая,необычные,серебристый,50.0,18.0,130.0,,,оптика,необычные_металл_серебристый,S_M_L,необычные_металл_серебристый_S_M_L
1633-088,JUNIORLOOK,подростковые для девочек,металл,ободковая,панто,фиолетовый,50.0,18.0,130.0,,,оптика,панто_металл_фиолетовый,S_M_L,панто_металл_фиолетовый_S_M_L
1633-187,JUNIORLOOK,подростковые для девочек,металл,ободковая,необычные,коричневый,50.0,18.0,130.0,,,оптика,необычные_металл_коричневый,S_M_L,необычные_металл_коричневый_S_M_L
1633-379,JUNIORLOOK,подростковые для девочек,металл,ободковая,необычные,черный/золотой,50.0,18.0,130.0,,,оптика,необычные_металл_черный/золотой,S_M_L,необычные_металл_черный/золотой_S_M_L
1633-6LB,BOSS,мужские,металл,ободковая,квадратные,серый,53.0,20.0,150.0,,,оптика,квадратные_металл_серый,L_L_L,квадратные_металл_серый_L_L_L
1633-J5G,BOSS,мужские,металл,ободковая,квадратные,золотой,53.0,20.0,150.0,,,оптика,квадратные_металл_золотой,L_L_L,квадратные_металл_золотой_L_L_L
1634-166,JUNIORLOOK,подростковые универсальные,пластик,ободковая,прямоугольные,черный/синий,51.0,16.0,130.0,,,оптика,прямоугольные_пластик_черный/синий,S_M_M,прямоугольные_пластик_черный/синий_S_M_M
1634-363,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,прямоугольные,черный/серый,51.0,16.0,130.0,,,оптика,прямоугольные_пластик_черный/серый,S_M_M,прямоугольные_пластик_черный/серый_S_M_M
1635-363,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,прямоугольные,серый,51.0,15.0,125.0,,,оптика,прямоугольные_пластик_серый,S_M_S,прямоугольные_пластик_серый_S_M_S
1635-364,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,прямоугольные,коричневый,51.0,15.0,125.0,,,оптика,прямоугольные_пластик_коричневый,S_M_S,прямоугольные_пластик_коричневый_S_M_S
1635-366,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,прямоугольные,синий,51.0,15.0,125.0,,,оптика,прямоугольные_пластик_синий,S_M_S,прямоугольные_пластик_синий_S_M_S
1635-381,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,прямоугольные,темно-серый,51.0,15.0,125.0,,,оптика,прямоугольные_пластик_темно-серый,S_M_S,прямоугольные_пластик_темно-серый_S_M_S
1635T-02A,BULGET,мужские,титан,ободковая,прямоугольные,серый,54.0,17.0,142.0,,,оптика,прямоугольные_титан_серый,M_L_M,прямоугольные_титан_серый_M_L_M
1635T-04A,BULGET,мужские,титан,ободковая,квадратные,,54.0,17.0,142.0,,,оптика,,M_L_M,
1635T-09A,BULGET,мужские,титан,ободковая,прямоугольные,черный/золотой,54.0,17.0,142.0,,,оптика,прямоугольные_титан_черный/золотой,M_L_M,прямоугольные_титан_черный/золотой_M_L_M
1638-007,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,трапеция,синий,50.0,15.0,130.0,,,оптика,трапеция_пластик_синий,S_M_S,трапеция_пластик_синий_S_M_S
1638-EAN,BOSS,универсальные,металл,ободковая,панто,зеленый,50.0,21.0,150.0,,,оптика,панто_металл_зеленый,L_M_L,панто_металл_зеленый_L_M_L
1638-TI7,BOSS,универсальные,металл,ободковая,панто,черный/серый,50.0,21.0,150.0,,,оптика,панто_металл_черный/серый,L_M_L,панто_металл_черный/серый_L_M_L
1639-066,JUNIORLOOK,подростковые универсальные,пластик,ободковая,вайфайеры,черный,49.0,17.0,130.0,,,оптика,вайфайеры_пластик_черный,S_M_M,вайфайеры_пластик_черный_S_M_M
1640-363,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,трапеция,черный,50.0,16.0,130.0,,,оптика,трапеция_пластик_черный,S_M_M,трапеция_пластик_черный_S_M_M
1641-001,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,квадратные,черный/серый,50.0,16.0,130.0,,,оптика,квадратные_пластик_черный/серый,S_M_M,квадратные_пластик_черный/серый_S_M_M
1641-166,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,квадратные,черный/синий,50.0,16.0,130.0,,,оптика,квадратные_пластик_черный/синий,S_M_M,квадратные_пластик_черный/синий_S_M_M
1643-366,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,трапеция,черный,48.0,16.0,125.0,,,оптика,трапеция_пластик_черный,S_M_M,трапеция_пластик_черный_S_M_M
1643-543,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,трапеция,черный/серый,48.0,16.0,125.0,,,оптика,трапеция_пластик_черный/серый,S_M_M,трапеция_пластик_черный/серый_S_M_M
1644-774,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,прямоугольные,темно-серый,49.0,15.0,125.0,,,оптика,прямоугольные_пластик_темно-серый,S_M_S,прямоугольные_пластик_темно-серый_S_M_S
1645-292,JUNIORLOOK,подростковые для девочек,пластик,ободковая,бабочка,персиковый,49.0,15.0,125.0,,,оптика,бабочка_пластик_персиковый,S_M_S,бабочка_пластик_персиковый_S_M_S
1646-001,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,трапеция,черный,51.0,16.0,135.0,,,оптика,трапеция_пластик_черный,M_M_M,трапеция_пластик_черный_M_M_M
1646-6AK,BOSS,мужские,пластик,ободковая,прямоугольные,зеленый,55.0,17.0,145.0,,,оптика,прямоугольные_пластик_зеленый,L_L_M,прямоугольные_пластик_зеленый_L_L_M
1646-807,BOSS,мужские,пластик,ободковая,прямоугольные,черный,55.0,17.0,145.0,,,оптика,прямоугольные_пластик_черный,L_L_M,прямоугольные_пластик_черный_L_L_M
1646T-04A,BULGET,женские,титан,ободковая,бабочка,,53.0,16.0,142.0,,,оптика,,M_L_M,
1646T-09A,BULGET,женские,титан,ободковая,бабочка,черный/золотой,53.0,16.0,142.0,,,оптика,бабочка_титан_черный/золотой,M_L_M,бабочка_титан_черный/золотой_M_L_M
1647-166,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,квадратные,черный,51.0,16.0,133.0,,,оптика,квадратные_пластик_черный,S_M_M,квадратные_пластик_черный_S_M_M
1647-543,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,квадратные,черный,51.0,16.0,133.0,,,оптика,квадратные_пластик_черный,S_M_M,квадратные_пластик_черный_S_M_M
165041-BIRDIE,NANO BABY,детские для девочек,пластик,ободковая,овальные,розовый,41.0,16.0,122.0,,,оптика,овальные_пластик_розовый,S_S_M,овальные_пластик_розовый_S_S_M
1651-316,JUNIORLOOK,подростковые для девочек,пластик,ободковая,квадратные,фиолетовый,50.0,16.0,125.0,,,оптика,квадратные_пластик_фиолетовый,S_M_M,квадратные_пластик_фиолетовый_S_M_M
1652-027,JUNIORLOOK,подростковые для девочек,пластик,ободковая,панто,черный/прозрачный,48.0,18.0,125.0,,,оптика,панто_пластик_черный/прозрачный,S_M_L,панто_пластик_черный/прозрачный_S_M_L
1652-066,JUNIORLOOK,подростковые для девочек,пластик,ободковая,панто,черный,48.0,18.0,125.0,,,оптика,панто_пластик_черный,S_M_L,панто_пластик_черный_S_M_L
1652-807,BOSS,мужские,пластик,ободковая,квадратные,черный,53.0,18.0,145.0,,,оптика,квадратные_пластик_черный,L_L_L,квадратные_пластик_черный_L_L_L
1652-KB7,BOSS,мужские,пластик,ободковая,квадратные,серый,53.0,18.0,145.0,,,оптика,квадратные_пластик_серый,L_L_L,квадратные_пластик_серый_L_L_L
1652-PJP,BOSS,мужские,пластик,ободковая,квадратные,синий,53.0,18.0,145.0,,,оптика,квадратные_пластик_синий,L_L_L,квадратные_пластик_синий_L_L_L
1655-027,JUNIORLOOK,подростковые для девочек,пластик,ободковая,бабочка,черный/прозрачный,50.0,16.0,130.0,,,оптика,бабочка_пластик_черный/прозрачный,S_M_M,бабочка_пластик_черный/прозрачный_S_M_M
1655-305,JUNIORLOOK,подростковые для девочек,пластик,ободковая,бабочка,фиолетовый,50.0,16.0,130.0,,,оптика,бабочка_пластик_фиолетовый,S_M_M,бабочка_пластик_фиолетовый_S_M_M
1656-066,JUNIORLOOK,подростковые для девочек,пластик,ободковая,панто,черный/прозрачный,48.0,16.0,125.0,,,оптика,панто_пластик_черный/прозрачный,S_M_M,панто_пластик_черный/прозрачный_S_M_M
1656-104,JUNIORLOOK,подростковые для девочек,пластик,ободковая,панто,фиолетовый,48.0,16.0,125.0,,,оптика,панто_пластик_фиолетовый,S_M_M,панто_пластик_фиолетовый_S_M_M
1658-027,JUNIORLOOK,подростковые для девочек,пластик,ободковая,панто,черный/прозрачный,49.0,17.0,130.0,,,оптика,панто_пластик_черный/прозрачный,S_M_M,панто_пластик_черный/прозрачный_S_M_M
1658-066,JUNIORLOOK,подростковые для девочек,пластик,ободковая,панто,черный,49.0,17.0,130.0,,,оптика,панто_пластик_черный,S_M_M,панто_пластик_черный_S_M_M
1658-068,JUNIORLOOK,подростковые для девочек,пластик,ободковая,панто,синий,49.0,17.0,130.0,,,оптика,панто_пластик_синий,S_M_M,панто_пластик_синий_S_M_M
1659-027,JUNIORLOOK,подростковые для девочек,пластик,ободковая,бабочка,черный/прозрачный,51.0,15.0,130.0,,,оптика,бабочка_пластик_черный/прозрачный,S_M_S,бабочка_пластик_черный/прозрачный_S_M_S
166-F-2,FORTUNA,женские,пластик,ободковая,панто,,51.0,17.0,145.0,,,оптика,,L_M_M,
166-F-7,FORTUNA,женские,пластик,ободковая,панто,,51.0,17.0,145.0,,,оптика,,L_M_M,
1660-104,JUNIORLOOK,подростковые для девочек,пластик,ободковая,бабочка,фиолетовый,50.0,15.0,125.0,,,оптика,бабочка_пластик_фиолетовый,S_M_S,бабочка_пластик_фиолетовый_S_M_S
1660-340,JUNIORLOOK,подростковые для девочек,пластик,ободковая,бабочка,черный,50.0,15.0,125.0,,,оптика,бабочка_пластик_черный,S_M_S,бабочка_пластик_черный_S_M_S
16607-2,NIKITANA,мужские,металл,ободковая,прямоугольные,черный/коричневый,53.0,18.0,145.0,,,оптика,прямоугольные_металл_черный/коричневый,L_L_L,прямоугольные_металл_черный/коричневый_L_L_L
16607-3,NIKITANA,мужские,металл,ободковая,прямоугольные,черный/серебристый,53.0,18.0,145.0,,,оптика,прямоугольные_металл_черный/серебристый,L_L_L,прямоугольные_металл_черный/серебристый_L_L_L
1661-088,JUNIORLOOK,подростковые для девочек,пластик,ободковая,бабочка,черный/прозрачный,49.0,15.0,125.0,,,оптика,бабочка_пластик_черный/прозрачный,S_M_S,бабочка_пластик_черный/прозрачный_S_M_S
1661-106,JUNIORLOOK,подростковые для девочек,пластик,ободковая,бабочка,прозрачный,49.0,15.0,125.0,,,оптика,бабочка_пластик_прозрачный,S_M_S,бабочка_пластик_прозрачный_S_M_S
1661-316,JUNIORLOOK,подростковые для девочек,пластик,ободковая,бабочка,фиолетовый,49.0,15.0,125.0,,,оптика,бабочка_пластик_фиолетовый,S_M_S,бабочка_пластик_фиолетовый_S_M_S
1662-027,JUNIORLOOK,подростковые для девочек,пластик,ободковая,бабочка,черный/прозрачный,51.0,15.0,130.0,,,оптика,бабочка_пластик_черный/прозрачный,S_M_S,бабочка_пластик_черный/прозрачный_S_M_S
1662-340,JUNIORLOOK,подростковые для девочек,пластик,ободковая,бабочка,синий,51.0,15.0,130.0,,,оптика,бабочка_пластик_синий,S_M_S,бабочка_пластик_синий_S_M_S
1663-008,JUNIORLOOK,подростковые для девочек,пластик,ободковая,бабочка,бордовый,51.0,15.0,130.0,,,оптика,бабочка_пластик_бордовый,S_M_S,бабочка_пластик_бордовый_S_M_S
1663-088,JUNIORLOOK,подростковые для девочек,пластик,ободковая,бабочка,черный/прозрачный,51.0,15.0,130.0,,,оптика,бабочка_пластик_черный/прозрачный,S_M_S,бабочка_пластик_черный/прозрачный_S_M_S
1663-106,JUNIORLOOK,подростковые для девочек,пластик,ободковая,бабочка,прозрачный,51.0,15.0,130.0,,,оптика,бабочка_пластик_прозрачный,S_M_S,бабочка_пластик_прозрачный_S_M_S
1664-006,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,черный,49.0,16.0,125.0,,,оптика,бабочка_металл_черный,S_M_M,бабочка_металл_черный_S_M_M
1664-083,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,коричневый,49.0,16.0,125.0,,,оптика,бабочка_металл_коричневый,S_M_M,бабочка_металл_коричневый_S_M_M
1664-088,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,бордовый,49.0,16.0,125.0,,,оптика,бабочка_металл_бордовый,S_M_M,бабочка_металл_бордовый_S_M_M
1664-163,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,фиолетовый,49.0,16.0,125.0,,,оптика,бабочка_металл_фиолетовый,S_M_M,бабочка_металл_фиолетовый_S_M_M
1665-061,JUNIORLOOK,подростковые для девочек,металл,ободковая,кошачий глаз,черный,49.0,16.0,125.0,,,оптика,кошачий глаз_металл_черный,S_M_M,кошачий глаз_металл_черный_S_M_M
1665-087,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,бордовый,49.0,16.0,125.0,,,оптика,бабочка_металл_бордовый,S_M_M,бабочка_металл_бордовый_S_M_M
1665-100,JUNIORLOOK,подростковые для девочек,металл,ободковая,кошачий глаз,фиолетовый,49.0,16.0,125.0,,,оптика,кошачий глаз_металл_фиолетовый,S_M_M,кошачий глаз_металл_фиолетовый_S_M_M
1665-379,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,коричневый,49.0,16.0,125.0,,,оптика,бабочка_металл_коричневый,S_M_M,бабочка_металл_коричневый_S_M_M
1666-043,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,черный,50.0,15.0,125.0,,,оптика,бабочка_металл_черный,S_M_S,бабочка_металл_черный_S_M_S
1666-087,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,фиолетовый,50.0,15.0,125.0,,,оптика,бабочка_металл_фиолетовый,S_M_S,бабочка_металл_фиолетовый_S_M_S
1666-100,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,фиолетовый,50.0,15.0,125.0,,,оптика,бабочка_металл_фиолетовый,S_M_S,бабочка_металл_фиолетовый_S_M_S
1667-006,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,черный,49.0,15.0,125.0,,,оптика,бабочка_металл_черный,S_M_S,бабочка_металл_черный_S_M_S
1667-083,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,коричневый,49.0,15.0,125.0,,,оптика,бабочка_металл_коричневый,S_M_S,бабочка_металл_коричневый_S_M_S
1668-061,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,черный,50.0,15.0,125.0,,,оптика,бабочка_металл_черный,S_M_S,бабочка_металл_черный_S_M_S
1668-087,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,бордовый,50.0,15.0,125.0,,,оптика,бабочка_металл_бордовый,S_M_S,бабочка_металл_бордовый_S_M_S
1668-100,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,фиолетовый,50.0,15.0,125.0,,,оптика,бабочка_металл_фиолетовый,S_M_S,бабочка_металл_фиолетовый_S_M_S
1668-379,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,коричневый,50.0,15.0,125.0,,,оптика,бабочка_металл_коричневый,S_M_S,бабочка_металл_коричневый_S_M_S
167-0492,Carolina Herrera,женские,металл,ободковая,панто,бежевый,50.0,20.0,140.0,,,оптика,панто_металл_бежевый,M_M_L,панто_металл_бежевый_M_M_L
167-BROWN,PIRAMIDA,мужские,пластик,ободковая,квадратные,коричневый,48.0,17.0,135.0,,,оптика,квадратные_пластик_коричневый,M_M_M,квадратные_пластик_коричневый_M_M_M
167-F-5/17,FORTUNA,женские,пластик,ободковая,прямоугольные,,53.0,19.0,142.0,,,оптика,,M_L_L,
167-F-5/7,FORTUNA,женские,пластик,ободковая,прямоугольные,,53.0,19.0,142.0,,,оптика,,M_L_L,
1670-146,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,черный,50.0,16.0,125.0,,,оптика,бабочка_металл_черный,S_M_M,бабочка_металл_черный_S_M_M
1670-282,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,темно-серый,50.0,16.0,125.0,,,оптика,бабочка_металл_темно-серый,S_M_M,бабочка_металл_темно-серый_S_M_M
1671-006,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,черный,50.0,16.0,125.0,,,оптика,бабочка_металл_черный,S_M_M,бабочка_металл_черный_S_M_M
1671-163,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,синий,50.0,16.0,125.0,,,оптика,бабочка_металл_синий,S_M_M,бабочка_металл_синий_S_M_M
1671-379,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,коричневый,50.0,16.0,125.0,,,оптика,бабочка_металл_коричневый,S_M_M,бабочка_металл_коричневый_S_M_M
1672-061,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,черный,50.0,15.0,125.0,,,оптика,бабочка_металл_черный,S_M_S,бабочка_металл_черный_S_M_S
1672-087,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,фиолетовый,50.0,15.0,125.0,,,оптика,бабочка_металл_фиолетовый,S_M_S,бабочка_металл_фиолетовый_S_M_S
1672-100,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,фиолетовый,50.0,15.0,125.0,,,оптика,бабочка_металл_фиолетовый,S_M_S,бабочка_металл_фиолетовый_S_M_S
1672M-09D,BULGET,мужские,металл,ободковая,квадратные,серый,54.0,18.0,145.0,,,оптика,квадратные_металл_серый,L_L_L,квадратные_металл_серый_L_L_L
1673-061,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,черный/серый,50.0,15.0,125.0,,,оптика,бабочка_металл_черный/серый,S_M_S,бабочка_металл_черный/серый_S_M_S
1673-146,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,синий,50.0,15.0,125.0,,,оптика,бабочка_металл_синий,S_M_S,бабочка_металл_синий_S_M_S
1673-246,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,фиолетовый,50.0,15.0,125.0,,,оптика,бабочка_металл_фиолетовый,S_M_S,бабочка_металл_фиолетовый_S_M_S
1673-379,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,коричневый,50.0,15.0,125.0,,,оптика,бабочка_металл_коричневый,S_M_S,бабочка_металл_коричневый_S_M_S
1673M-09D,BULGET,мужские,металл,ободковая,квадратные,серый,56.0,17.0,145.0,,,оптика,квадратные_металл_серый,L_L_M,квадратные_металл_серый_L_L_M
1674-087,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,фиолетовый,49.0,16.0,125.0,,,оптика,бабочка_металл_фиолетовый,S_M_M,бабочка_металл_фиолетовый_S_M_M
1674-100,JUNIORLOOK,подростковые для девочек,металл,ободковая,кошачий глаз,фиолетовый,49.0,16.0,125.0,,,оптика,кошачий глаз_металл_фиолетовый,S_M_M,кошачий глаз_металл_фиолетовый_S_M_M
1674-146,JUNIORLOOK,подростковые для девочек,металл,ободковая,кошачий глаз,синий,49.0,16.0,125.0,,,оптика,кошачий глаз_металл_синий,S_M_M,кошачий глаз_металл_синий_S_M_M
1675-06A,BULGET,женские,металл,ободковая,бабочка,,55.0,17.0,140.0,,,оптика,,M_L_M,
1675-146,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,темно-серый,50.0,16.0,125.0,,,оптика,бабочка_металл_темно-серый,S_M_M,бабочка_металл_темно-серый_S_M_M
1675-282,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,синий,50.0,16.0,125.0,,,оптика,бабочка_металл_синий,S_M_M,бабочка_металл_синий_S_M_M
1675-379,JUNIORLOOK,подростковые для девочек,металл,ободковая,бабочка,коричневый,50.0,16.0,125.0,,,оптика,бабочка_металл_коричневый,S_M_M,бабочка_металл_коричневый_S_M_M
1675/F-003,BOSS,мужские,титан,полуободковая,прямоугольные,черный,54.0,18.0,145.0,,,оптика,прямоугольные_титан_черный,L_L_L,прямоугольные_титан_черный_L_L_L
1675/F-R81,BOSS,мужские,титан,полуободковая,прямоугольные,серый,54.0,18.0,145.0,,,оптика,прямоугольные_титан_серый,L_L_L,прямоугольные_титан_серый_L_L_L
1676-09A,BULGET,женские,металл,ободковая,бабочка,черный/золотой,53.0,18.0,140.0,,,оптика,бабочка_металл_черный/золотой,M_L_L,бабочка_металл_черный/золотой_M_L_L
1676-363,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,квадратные,черный,49.0,15.0,125.0,,,оптика,квадратные_пластик_черный,S_M_S,квадратные_пластик_черный_S_M_S
1676-366,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,квадратные,синий,49.0,15.0,125.0,,,оптика,квадратные_пластик_синий,S_M_S,квадратные_пластик_синий_S_M_S
1677-366,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,прямоугольные,синий,49.0,16.0,125.0,,,оптика,прямоугольные_пластик_синий,S_M_M,прямоугольные_пластик_синий_S_M_M
1677-381,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,прямоугольные,черный/зеленый,49.0,16.0,125.0,,,оптика,прямоугольные_пластик_черный/зеленый,S_M_M,прямоугольные_пластик_черный/зеленый_S_M_M
1677-543,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,прямоугольные,черный/серый,49.0,16.0,125.0,,,оптика,прямоугольные_пластик_черный/серый,S_M_M,прямоугольные_пластик_черный/серый_S_M_M
1679-011,JUNIORLOOK,подростковые для мальчиков,металл,ободковая,прямоугольные,темно-серый,50.0,16.0,130.0,,,оптика,прямоугольные_металл_темно-серый,S_M_M,прямоугольные_металл_темно-серый_S_M_M
1679-018,JUNIORLOOK,подростковые для мальчиков,металл,ободковая,прямоугольные,черный,50.0,16.0,130.0,,,оптика,прямоугольные_металл_черный,S_M_M,прямоугольные_металл_черный_S_M_M
1679-1414,JUNIORLOOK,подростковые для мальчиков,металл,ободковая,прямоугольные,серый,50.0,16.0,130.0,,,оптика,прямоугольные_металл_серый,S_M_M,прямоугольные_металл_серый_S_M_M
1679-146,JUNIORLOOK,подростковые для мальчиков,металл,ободковая,прямоугольные,синий,50.0,16.0,130.0,,,оптика,прямоугольные_металл_синий,S_M_M,прямоугольные_металл_синий_S_M_M
1681-011,JUNIORLOOK,подростковые для мальчиков,металл,ободковая,прямоугольные,черный,49.0,15.0,125.0,,,оптика,прямоугольные_металл_черный,S_M_S,прямоугольные_металл_черный_S_M_S
1681-018,JUNIORLOOK,подростковые для мальчиков,металл,ободковая,прямоугольные,черный,49.0,15.0,125.0,,,оптика,прямоугольные_металл_черный,S_M_S,прямоугольные_металл_черный_S_M_S
1681-146,JUNIORLOOK,подростковые для мальчиков,металл,ободковая,прямоугольные,синий,49.0,15.0,125.0,,,оптика,прямоугольные_металл_синий,S_M_S,прямоугольные_металл_синий_S_M_S
1683-345,JUNIORLOOK,подростковые универсальные,пластик,ободковая,панто,черный,45.0,17.0,130.0,,,оптика,панто_пластик_черный,S_S_M,панто_пластик_черный_S_S_M
1684-050,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,трапеция,зеленый,48.0,15.0,130.0,,,оптика,трапеция_пластик_зеленый,S_M_S,трапеция_пластик_зеленый_S_M_S
1684-079,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,трапеция,черный,48.0,15.0,130.0,,,оптика,трапеция_пластик_черный,S_M_S,трапеция_пластик_черный_S_M_S
1684-436,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,трапеция,фиолетовый,48.0,15.0,130.0,,,оптика,трапеция_пластик_фиолетовый,S_M_S,трапеция_пластик_фиолетовый_S_M_S
1684-469,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,трапеция,синий,48.0,15.0,130.0,,,оптика,трапеция_пластик_синий,S_M_S,трапеция_пластик_синий_S_M_S
1686-079,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,прямоугольные,черный,50.0,15.0,130.0,,,оптика,прямоугольные_пластик_черный,S_M_S,прямоугольные_пластик_черный_S_M_S
1686-469,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,прямоугольные,синий,50.0,15.0,130.0,,,оптика,прямоугольные_пластик_синий,S_M_S,прямоугольные_пластик_синий_S_M_S
1686MT-06A,BULGET,женские,титан,ободковая,панто,синий/серебристый,50.0,20.0,145.0,,,оптика,панто_титан_синий/серебристый,L_M_L,панто_титан_синий/серебристый_L_M_L
1687-050,JUNIORLOOK,подростковые для девочек,пластик,ободковая,панто,зеленый,46.0,15.0,125.0,,,оптика,панто_пластик_зеленый,S_S_S,панто_пластик_зеленый_S_S_S
1687-339,JUNIORLOOK,подростковые для девочек,пластик,ободковая,панто,бордовый,46.0,15.0,125.0,,,оптика,панто_пластик_бордовый,S_S_S,панто_пластик_бордовый_S_S_S
1687-436,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,панто,синий,46.0,15.0,125.0,,,оптика,панто_пластик_синий,S_S_S,панто_пластик_синий_S_S_S
1687-469,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,панто,синий,46.0,15.0,125.0,,,оптика,панто_пластик_синий,S_S_S,панто_пластик_синий_S_S_S
1687MT-02A,BULGET,универсальные,титан,ободковая,прямоугольные,серый,53.0,18.0,145.0,,,оптика,прямоугольные_титан_серый,L_L_L,прямоугольные_титан_серый_L_L_L
1687MT-04A,BULGET,женские,титан,ободковая,прямоугольные,розовый,53.0,18.0,145.0,,,оптика,прямоугольные_титан_розовый,L_L_L,прямоугольные_титан_розовый_L_L_L
1687MT-09A,BULGET,универсальные,титан,ободковая,прямоугольные,серебристый,53.0,18.0,145.0,,,оптика,прямоугольные_титан_серебристый,L_L_L,прямоугольные_титан_серебристый_L_L_L
1690-079,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,вайфайеры,черный,47.0,16.0,130.0,,,оптика,вайфайеры_пластик_черный,S_S_M,вайфайеры_пластик_черный_S_S_M
1690-08A,BULGET,женские,металл,полуободковая,бабочка,,55.0,16.5,142.0,,,оптика,,M_L_M,
1690-469,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,вайфайеры,синий,47.0,16.0,130.0,,,оптика,вайфайеры_пластик_синий,S_S_M,вайфайеры_пластик_синий_S_S_M
1691-07A,BULGET,женские,металл,ободковая,бабочка,красный,54.0,14.5,142.0,,,оптика,бабочка_металл_красный,M_L_S,бабочка_металл_красный_M_L_S
1691-469,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,прямоугольные,синий,49.0,15.0,130.0,,,оптика,прямоугольные_пластик_синий,S_M_S,прямоугольные_пластик_синий_S_M_S
1692-203,JUNIORLOOK,подростковые для девочек,пластик,ободковая,панто,бордовый,49.0,19.0,126.0,,,оптика,панто_пластик_бордовый,S_M_L,панто_пластик_бордовый_S_M_L
1692-345,JUNIORLOOK,подростковые для девочек,пластик,ободковая,панто,черный,49.0,19.0,126.0,,,оптика,панто_пластик_черный,S_M_L,панто_пластик_черный_S_M_L
1692-367,JUNIORLOOK,подростковые для мальчиков,пластик,ободковая,панто,синий,49.0,19.0,126.0,,,оптика,панто_пластик_синий,S_M_L,панто_пластик_синий_S_M_L
1692T-08A,BULGET,женские,титан,ободковая,бабочка,бежевый,53.0,18.0,142.0,,,оптика,бабочка_титан_бежевый,M_L_L,бабочка_титан_бежевый_M_L_L
