Салон,Наименование группы,Кол-во (группа),Паспорт,Полный класс (доминирующий),Остаток по классу,Прогноз по классу (квартал),"Прогноз по классу (месяц1, месяц2, месяц3)",XYZ-категория,Рекомендация
40 лет Октября,2(1590-3990) (GENEX) (м),7,12,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,2(1590-3990) (NIKITANA) (ж),2,0,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,2(1590-3990) (OU) (мет+пл) (ж),1,0,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,2(1590-3990) (SENSE EYEWEAR) (ме) (ж),6,6,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,2(1590-3990) (SENSE EYEWEAR) (ме) (ж) хит5,4,2,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,2(1590-3990) (SENSE EYEWEAR) (ме) (м),6,6,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,2(1590-3990) (SENSE EYEWEAR) (пл) (ж),8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,2(1590-3990) (SENSE EYEWEAR) (пл) (м),9,6,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,3(4000-5990) (BALLET IMAGE) (м),12,12,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,3(4000-5990) (HUMARS) (ж),7,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,3(4000-5990) (HUMARS) (м),9,12,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,3(4000-5990) (MEGAPOLIS) (ж),4,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,3(4000-5990) (OU) (ж),15,16,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,3(4000-5990) (OU) (м),12,12,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,3(4000-5990) (SENSE EYEWEAR) (ж) хит6,2,2,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,3(4000-5990) (SENSE EYEWEAR) (ж)(ме),28,28,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,3(4000-5990) (SENSE EYEWEAR) (ж)(пл) ,16,16,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,3(4000-5990) (SENSE EYEWEAR) (м),50,50,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,3(4000-5990) (SENSE EYEWEAR) (у)(titan NB),1,0,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,4(6000-9990) (BULGET) (ж),8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,4(6000-9990) (BULGET) (м),14,14,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,4(6000-9990) (ELFSPIRIT) (ж),7,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,4(6000-9990) (ELFSPIRIT) (м),9,14,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,4(6000-9990) (ENNI MARCO) (ж),16,16,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,4(6000-9990) (ENNI MARCO) (м),7,7,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,4(6000-9990) (LINA LATINI titanium) (ж),8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,4(6000-9990) (MAX&CO) (ж),8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,4(6000-9990) (MEGAPOLIS) (м),4,7,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,4(6000-9990) (NEOLOOK) (ж),8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,4(6000-9990) (NEOLOOK) (м),14,14,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,4(6000-9990) (OU) (м),2,0,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,4(6000-9990) (SEEBLING титановые) (ж) ,16,16,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,4(6000-9990) (SEEBLING титановые) (м) ,12,12,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,4(6000-9990) (SFEROFLEX) (ж),4,0,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,4(6000-9990) (SFEROFLEX) (м),3,7,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,4(6000-9990) (WILLIAM MORRIS) (ж),18,18,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (ANA HICKMANN) (ж),12,12,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (BOSS/HUGO BOSS) (м),7,7,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (CARRERA) (м),8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (CERUTTI) (м),9,7,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (DAVID BECKHEM) (м),7,7,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (EMILIA) (ж),8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (EMPORIO ARMANI) (м),7,7,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (ETRO) (ж),9,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (FURLA) (ж),9,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (GRESSO) (м),8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (GUESS) (ж),16,16,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (GUESS) (м),7,7,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (MOLESKINE) (у),8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (MOREL/KOALI/NOMAD/LIGHTEC) (ж),10,9,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (MOREL/OGA/NOMAD/LIGHTEC) (м),8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (PEPE JEANS) (м),2,0,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (RAY BAN),25,26,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (SEIKO) (ж),7,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (SEIKO) (м),8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (SLIMFOLD) (м),8,6,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (STEPPER) (ж),18,18,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (STEPPER) (м),15,14,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (T-CHARGE) (м),14,14,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (TED BAKER) (ж),7,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (TED BAKER) (м),8,7,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (TRUSSARDI) (ж),9,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (TRUSSARDI) (м),8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (VOGUE) (ж),2,0,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (WILLIAM MORRIS BL) (ж),10,10,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (WILLIAM MORRIS) (м),14,14,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (XAVIER GARCIA) (ж),8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,5(10000-24990) (XAVIER GARCIA) (м),7,7,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,VIP (CAZAL) ( ж),8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,VIP (CAZAL) (м),8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,VIP (CHARMANT LINE ART) (ж),1,3,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,VIP (CHARRIOL) (м) #,8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,VIP (ETNIA BARCELONA) (ж)#,10,10,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,VIP (ETNIA BARCELONA) (м)#,8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,VIP (GOTTI) (ж),8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,VIP (GOTTI) (у),5,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,VIP (JAGUAR),8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,VIP (LAFONT) (ж),7,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,VIP (MONTBLANC)#,7,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,VIP (MYKITA),4,0,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,VIP (PRADA LINEA ROSSA)#,10,7,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,VIP (PRADA)#,8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,VIP (SILHOUETTE),8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,VIP (TIFFANY),8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,(подростковые) (пластик для девочек),15,15,прямоугольные_пластик_черный_M_L_M,11,53,"18, 10, 25",X,Заказать
40 лет Октября,(подростковые) (пластик для мальчиков/универс),28,15,прямоугольные_пластик_черный_M_L_M,11,53,"18, 10, 25",X,Заказать
40 лет Октября,1(0-1490) (ПЛАСТИК) (М),1,0,прямоугольные_пластик_черный_M_L_M,11,53,"18, 10, 25",X,Заказать
40 лет Октября,2(1590-3990) (ISABELLE) (пластик) (ж),8,8,прямоугольные_пластик_черный_M_L_M,11,53,"18, 10, 25",X,Заказать
40 лет Октября,3(4000-5990) (OPTILOOK) (пластик) (ж),16,16,прямоугольные_пластик_черный_M_L_M,11,53,"18, 10, 25",X,Заказать
