class,total_sales,pos_pct,category,style_class,size_class,style_category,size_category
спортивные_пластик_черный_M_L_M,9,0.0695754716981132,X,спортивные_пластик_черный,M_L_M,X,X
капли_металл_темно-серый_S_L_S,9,0.07075471698113207,X,капли_металл_темно-серый,S_L_S,X,x
квадратные_металл_золотой_L_L_L,9,0.07193396226415094,X,квадратные_металл_золотой,L_L_L,X,X
бабочка_пластик_многоцветный_L_L_L,9,0.07311320754716981,X,бабочка_пластик_многоцветный,L_L_L,X,X
бабочка_металл_золотой_L_L_M,9,0.07429245283018868,X,бабочка_металл_золотой,L_L_M,X,X
авиаторы_металл_серебристый_M_L_S,9,0.07547169811320754,X,авиаторы_металл_серебристый,M_L_S,X,X
трапеция_пластик_черный_M_L_S,9,0.07665094339622641,X,трапеция_пластик_черный,M_L_S,X,X
бабочка_пластик_коричневый_M_L_M,9,0.07783018867924528,X,бабочка_пластик_коричневый,M_L_M,X,X
бабочка_пластик_черный_M_M_L,9,0.07900943396226415,X,бабочка_пластик_черный,M_M_L,X,X
кошачий глаз_металл_черный/золотой_L_L_L,9,0.08018867924528301,X,кошачий глаз_металл_черный/золотой,L_L_L,X,X
прямоугольные_пластик_черный_M_L_M,9,0.08136792452830188,X,прямоугольные_пластик_черный,M_L_M,X,X
капли_металл_золотой_L_L_S,9,0.08254716981132075,X,капли_металл_золотой,L_L_S,X,X
квадратные_металл_серебристый_L_L_L,9,0.08372641509433962,X,квадратные_металл_серебристый,L_L_L,X,X
овальные_металл_желтый_M_L_L,9,0.08490566037735849,X,овальные_металл_желтый,M_L_L,X,X
панто_пластик_синий_L_L_L,9,0.08608490566037735,X,панто_пластик_синий,L_L_L,X,X
капли_металл_серебристый_L_L_S,9,0.08726415094339622,X,капли_металл_серебристый,L_L_S,X,X
овальные_металл_золотой_L_M_L,9,0.08844339622641509,X,овальные_металл_золотой,L_M_L,X,X
кошачий глаз_пластик_черный_L_M_L,8,0.08962264150943396,X,кошачий глаз_пластик_черный,L_M_L,X,X
квадратные_металл_темно-серый_M_L_M,8,0.09080188679245282,X,квадратные_металл_темно-серый,M_L_M,X,X
панто_пластик_гавана_L_L_L,8,0.09198113207547169,X,панто_пластик_гавана,L_L_L,X,X
капли_металл_черный_L_L_S,8,0.09316037735849056,X,капли_металл_черный,L_L_S,X,X
капли_металл_темно-серый_M_L_S,8,0.09433962264150944,X,капли_металл_темно-серый,M_L_S,X,X
прямоугольные_металл_темно-серый_M_L_M,8,0.09551886792452831,X,прямоугольные_металл_темно-серый,M_L_M,X,X
квадратные_металл_серый_M_L_M,8,0.09669811320754718,X,квадратные_металл_серый,M_L_M,X,X
спортивные_пластик_черный_M_L_S,8,0.09787735849056604,X,спортивные_пластик_черный,M_L_S,X,X
капли_металл_серый_L_L_S,8,0.09905660377358491,X,капли_металл_серый,L_L_S,X,X
прямоугольные_металл_серый_L_L_M,8,0.10023584905660378,X,прямоугольные_металл_серый,L_L_M,X,X
панто_металл_серый_M_L_L,8,0.10141509433962265,X,панто_металл_серый,M_L_L,X,X
